                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.319,                 6.5551,                0.38938,                 1.4141,                 1.6141,                0.86747,                0.65751,                0.84376,                0.49957,                0.25562,                0.16558,                0.12261,                0.02631,                    nan,                 11.045,                 1.6647,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.2939,                  6.571,                0.40426,                 1.3234,                 1.6034,                0.72724,                0.80296,                0.82722,                0.46516,                0.27184,                0.20184,                0.14346,                0.02364,                    nan,                 11.098,                 1.4856,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3164,                 6.5435,                0.37951,                 1.3131,                 1.6306,                0.88121,                0.72132,                0.86698,                0.47557,                0.20997,                0.16558,                0.07933,                0.01247,                    nan,                 11.066,                 1.2386,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2981,                 6.4803,                0.38358,                 1.3606,                 1.6313,                0.73964,                0.81985,                0.83867,                0.46279,                0.22936,                0.20076,                0.09108,                  0.014,                    nan,                 11.018,                 1.4299,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2434,                 6.4383,                0.37542,                 1.3454,                 1.5876,                 0.7964,                0.79523,                 0.8331,                0.43899,                0.23409,                 0.2132,                0.12894,                0.02396,                    nan,                 11.067,                 1.5934,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2797,                 6.3194,                0.38943,                 1.2896,                 1.5741,                0.83371,                0.73485,                0.85495,                0.53083,                0.29869,                0.20649,                0.15508,                0.02121,                    nan,                 11.102,                  1.578,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2423,                 6.4775,                0.38821,                 1.2501,                 1.5807,                 0.8265,                0.81277,                 0.8693,                0.45865,                0.18561,                0.16558,                0.08853,                0.01239,                    nan,                 11.087,                 1.5367,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2735,                 6.5079,                0.37882,                 1.2636,                 1.5711,                0.85894,                0.82423,                0.88048,                0.51172,                0.22081,                0.19048,                0.13733,                0.01633,                    nan,                 11.039,                 1.4535,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     41,                  1.218,                 6.3457,                0.37106,                 1.2544,                 1.5562,                0.86239,                0.87508,                0.90166,                0.56412,                0.26408,                0.23699,                0.16057,                 0.0319,                    nan,                 10.845,                 1.5283,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2446,                 6.3114,                0.37301,                 1.2905,                 1.5614,                0.82159,                0.84957,                0.89847,                0.54346,                0.33879,                0.24729,                0.12588,                 0.0202,                    nan,                 10.879,                 1.5704,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
