                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.86336,                  7.136,                      0,                 1.1514,                 1.2694,                0.73612,                   0.67,                0.70568,                0.50161,                0.09775,                0.07573,                0.02229,                0.00255,                    nan,                  9.777,                      0,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     62,                0.87341,                 6.8507,                      0,                  1.223,                 1.2734,                 0.7184,                0.61239,                 0.6628,                0.44719,                 0.2352,                0.05782,                0.03946,                0.00546,                    nan,                 9.7764,                      0,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                     63,                0.86017,                 7.0638,                      0,                 1.1221,                 1.2585,                0.69691,                0.70565,                0.71447,                0.49811,                0.18303,                0.08542,                0.03544,                0.00461,                    nan,                 9.6682,                      0,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     64,                0.87369,                 6.9743,                      0,                 1.1064,                 1.2733,                 0.7014,                0.76593,                0.76047,                0.53254,                0.16242,                0.09141,                0.04377,                0.00555,                    nan,                 9.6424,                      0,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     65,                0.87938,                 7.0103,                      0,                 1.1668,                 1.2889,                0.62512,                0.76541,                0.74554,                0.50861,                0.11277,                0.08357,                0.03782,                0.00537,                    nan,                  9.661,                      0,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     66,                0.85979,                 6.8999,                      0,                    1.1,                 1.2755,                0.73212,                0.73981,                0.76425,                0.54958,                0.14203,                0.09774,                0.04868,                0.00636,                    nan,                 9.6238,                      0,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     67,                0.87177,                 6.8668,                      0,                 1.1147,                 1.2698,                0.66372,                0.80154,                0.77398,                0.53681,                0.16935,                0.07908,                0.03264,                 0.0045,                    nan,                 9.6742,                      0,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     68,                0.85634,                 6.8749,                      0,                 1.1243,                  1.258,                0.65725,                0.76745,                0.76916,                0.53502,                0.14018,                0.07237,                0.02397,                0.00303,                    nan,                 9.6639,                      0,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     69,                0.85379,                 6.7613,                      0,                 1.1651,                 1.2416,                 0.7354,                0.74762,                0.76816,                0.54919,                0.17424,                0.07995,                0.05135,                 0.0064,                    nan,                 9.6466,                      0,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     70,                0.86253,                 6.9604,                      0,                 1.1117,                 1.2681,                0.70456,                0.70044,                0.73887,                0.52221,                0.17042,                0.08692,                 0.0418,                0.00463,                    nan,                 9.6919,                      0,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.8359,                 6.8627,                      0,                 1.0611,                 1.2545,                 0.6662,                0.81013,                0.77857,                0.56017,                 0.1055,                0.07237,                0.02118,                0.00245,                    nan,                 9.6496,                      0,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     72,                0.80714,                  6.728,                      0,                 1.0631,                 1.2428,                0.69743,                0.79595,                0.79552,                0.54182,                0.19205,                 0.0873,                0.05153,                0.00671,                    nan,                 9.6471,                      0,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     73,                0.82152,                 6.8333,                      0,                 1.0467,                 1.2538,                0.68181,                0.84384,                0.82967,                0.59022,                 0.1673,                0.10558,                0.05907,                0.00741,                    nan,                 9.6447,                      0,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     74,                0.82693,                 6.6979,                      0,                 1.0642,                 1.2401,                 0.6901,                0.73104,                0.75729,                0.53319,                0.18131,                0.09028,                0.05606,                 0.0099,                    nan,                 9.6037,                      0,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     75,                0.82183,                  6.738,                      0,                 1.0628,                 1.2329,                0.68891,                0.71574,                0.74795,                0.53574,                0.21675,                0.09439,                0.04617,                0.00543,                    nan,                 9.6142,                      0,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     76,                0.81383,                 6.7492,                      0,                  1.062,                 1.2492,                0.73733,                0.70345,                0.78457,                0.56714,                0.22768,                0.09737,                0.04803,                0.00592,                    nan,                 9.6457,                      0,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     77,                0.80713,                  6.644,                      0,                 1.0272,                 1.2387,                0.64331,                0.80964,                 0.7858,                 0.5721,                0.28269,                0.07984,                0.05197,                0.00655,                    nan,                 9.6291,                      0,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     78,                0.81143,                 6.7448,                      0,                 1.0509,                 1.2372,                0.71859,                 0.7853,                0.81319,                0.58717,                0.16669,                0.11267,                0.05324,                0.00824,                    nan,                 9.5758,                      0,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     79,                0.80908,                  6.611,                      0,                 1.0345,                 1.2457,                0.72688,                0.77209,                0.79861,                0.57127,                0.28856,                0.14625,                0.09506,                0.01428,                    nan,                 9.6065,                      0,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
