                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.96389,                 7.0177,                      0,                 1.3787,                 1.3458,                0.51039,                0.67073,                0.56867,                0.36629,                0.18687,                0.16253,                0.08144,                0.01736,                    nan,                 9.6083,                      0,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     48,                0.97147,                 6.8286,                      0,                 1.3633,                 1.3683,                0.42385,                 0.6437,                0.51067,                0.32798,                0.11236,                0.08202,                0.03649,                0.00779,                    nan,                 9.6435,                      0,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     49,                0.96359,                   6.77,                      0,                 1.3693,                 1.3552,                0.44584,                0.76589,                0.53004,                0.32841,                0.09786,                0.18258,                0.04475,                0.00943,                    nan,                  9.592,                      0,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     50,                0.97074,                 6.9558,                      0,                  1.406,                  1.361,                 0.4692,                0.68009,                0.53094,                0.33533,                  0.091,                0.17177,                0.03967,                0.00854,                    nan,                 9.6191,                      0,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.9611,                 6.7594,                      0,                 1.3551,                 1.3406,                0.48919,                0.74508,                0.59543,                0.37336,                 0.1338,                0.18799,                0.07746,                0.01791,                    nan,                 9.5526,                      0,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     52,                0.96913,                 6.8148,                      0,                 1.3627,                 1.3616,                0.51926,                0.74213,                0.60753,                0.37956,                0.16211,                0.12954,                0.05159,                0.01342,                    nan,                 9.5635,                      0,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                     53,                0.94583,                 6.8707,                      0,                 1.3617,                 1.3342,                0.46238,                0.72801,                0.57635,                0.38066,                 0.0934,                0.11917,                0.03439,                0.00664,                    nan,                 9.5572,                      0,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     54,                0.95159,                  6.704,                      0,                 1.3479,                 1.3255,                0.48571,                0.53377,                0.51186,                0.33143,                0.11997,                0.11175,                0.04791,                0.01031,                    nan,                 9.5567,                      0,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.9581,                  6.733,                      0,                 1.3244,                 1.3327,                0.50786,                0.68329,                0.59072,                0.36748,                 0.2084,                0.14688,                0.07197,                 0.0148,                    nan,                 9.5491,                      0,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     56,                0.92888,                 6.7692,                      0,                 1.3463,                 1.3265,                0.54573,                0.62643,                0.59133,                0.39084,                0.22274,                0.17174,                0.08524,                0.01518,                    nan,                  9.498,                      0,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     57,                0.92592,                 6.6536,                      0,                 1.3251,                 1.3244,                 0.5188,                0.60664,                0.55706,                0.36749,                0.16099,                0.17592,                0.07766,                0.01687,                    nan,                 9.4606,                      0,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     58,                0.92055,                 6.5891,                      0,                 1.3167,                  1.312,                0.53198,                0.58394,                0.53724,                0.34144,                0.16161,                 0.1685,                0.06625,                0.01489,                    nan,                 9.5178,                      0,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     59,                0.94458,                 6.6854,                      0,                 1.3271,                 1.3363,                0.45675,                0.70925,                0.54254,                0.33603,                0.15064,                0.16592,                0.06107,                0.01173,                    nan,                 9.5287,                      0,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     60,                0.91502,                 6.6078,                      0,                 1.2727,                 1.3151,                0.50915,                 0.6696,                0.56052,                0.38101,                0.16576,                0.17774,                0.07454,                0.01515,                    nan,                 9.5198,                      0,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
                     61,                0.89984,                 6.5719,                      0,                  1.325,                 1.3048,                0.51744,                0.65169,                0.55978,                0.37982,                0.18479,                0.09823,                0.04969,                0.01124,                    nan,                 9.5258,                      0,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88496,                 6.2957,                      0,                 1.2374,                 1.3077,                0.50262,                0.64844,                0.55233,                0.34752,                 0.1412,                0.14047,                0.05256,                0.01031,                    nan,                 9.5066,                      0,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                     63,                0.86119,                 6.4867,                      0,                 1.2125,                 1.2679,                0.50641,                0.71731,                0.59287,                0.38751,                0.17119,                0.13777,                0.06783,                0.01616,                    nan,                 9.4769,                      0,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     64,                0.87202,                 6.5315,                      0,                 1.2192,                 1.2885,                0.49626,                0.73515,                0.59937,                 0.3814,                0.15895,                0.11929,                  0.051,                0.01131,                    nan,                 9.5273,                      0,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     65,                0.89088,                 6.3874,                      0,                 1.2163,                 1.2953,                0.48717,                0.68287,                0.57593,                0.36171,                0.18003,                0.15285,                0.06056,                0.01177,                    nan,                 9.4839,                      0,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     66,                0.86841,                 6.4207,                      0,                 1.2758,                 1.2861,                0.49864,                0.73648,                0.61975,                0.40096,                0.26194,                0.17234,                0.07962,                0.01758,                    nan,                 9.4143,                      0,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     67,                0.85649,                 6.4536,                      0,                 1.2369,                  1.276,                0.51603,                0.72512,                0.59831,                0.38712,                0.20703,                0.17174,                  0.094,                0.01865,                    nan,                 9.4872,                      0,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     68,                0.87391,                 6.4842,                      0,                 1.1915,                 1.3021,                0.52254,                0.70273,                0.60331,                0.39331,                0.21862,                0.13821,                 0.0806,                0.01727,                    nan,                 9.4781,                      0,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     69,                0.87288,                 6.3441,                      0,                 1.2373,                 1.2808,                0.52536,                0.77096,                0.62836,                0.42056,                0.27191,                0.17774,                0.10087,                0.02467,                    nan,                 9.3956,                      0,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     70,                0.83618,                 6.2676,                      0,                 1.1704,                  1.257,                0.46012,                0.74717,                0.59444,                0.37871,                0.29561,                0.14261,                0.09507,                0.01823,                    nan,                  9.442,                      0,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                     71,                0.84661,                 6.3627,                      0,                 1.1923,                 1.2668,                0.52369,                0.71751,                0.60667,                 0.4072,                0.14104,                0.17177,                0.06028,                 0.0136,                    nan,                 9.4314,                      0,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     72,                0.82737,                 6.2762,                      0,                 1.1626,                 1.2448,                 0.5452,                0.68582,                0.60681,                0.40888,                0.24613,                0.15342,                0.09699,                0.02281,                    nan,                 9.4346,                      0,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     73,                0.83772,                 6.3002,                      0,                 1.1816,                 1.2727,                0.51472,                0.68053,                0.57888,                0.38301,                 0.2265,                0.16863,                0.09243,                0.01984,                    nan,                 9.4195,                      0,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     74,                0.80303,                 6.1092,                      0,                 1.1747,                   1.24,                0.48865,                 0.7429,                0.60015,                0.40537,                0.17836,                0.16963,                0.09035,                0.02019,                    nan,                 9.4319,                      0,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     75,                0.83704,                  6.175,                      0,                  1.186,                 1.2595,                0.49344,                0.67116,                0.57224,                0.36654,                0.14435,                0.19098,                 0.0793,                0.01655,                    nan,                 9.4302,                      0,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     76,                0.79124,                 6.1782,                      0,                 1.1216,                  1.219,                0.52865,                0.62591,                0.57908,                0.38269,                0.19421,                0.15598,                0.08382,                0.01815,                    nan,                 9.4574,                      0,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     77,                0.80833,                 6.1642,                      0,                 1.1242,                 1.2348,                0.47348,                0.69013,                0.56422,                0.36337,                0.18073,                 0.1416,                0.07653,                0.01757,                    nan,                 9.4043,                      0,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     78,                0.80288,                 6.1512,                      0,                 1.1229,                 1.2379,                 0.4675,                0.69323,                0.55352,                0.36266,                0.16368,                0.16209,                0.08133,                0.01673,                    nan,                 9.4448,                      0,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     79,                0.81226,                 6.0718,                      0,                 1.1006,                 1.2457,                0.44958,                 0.6474,                0.52405,                0.34439,                0.16313,                 0.1675,                0.08066,                0.01941,                    nan,                 9.4784,                      0,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     80,                0.80834,                 6.0066,                      0,                 1.1051,                 1.2408,                0.45957,                0.76146,                0.55359,                0.36509,                0.21769,                0.15995,                 0.0827,                0.01953,                    nan,                 9.4755,                      0,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     81,                0.79166,                   6.08,                      0,                 1.1222,                  1.252,                0.48304,                0.65035,                0.54754,                0.36995,                 0.2088,                0.13236,                0.08088,                0.01845,                    nan,                 9.4476,                      0,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     82,                0.79027,                 6.1445,                      0,                 1.1103,                 1.2121,                0.48115,                0.76368,                 0.5882,                0.39858,                0.18798,                0.19892,                0.10263,                 0.0215,                    nan,                 9.3969,                      0,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79497,                 5.8605,                      0,                 1.0929,                 1.2428,                0.45633,                0.75218,                0.56339,                0.37837,                0.14546,                 0.2086,                0.09556,                0.02145,                    nan,                 9.3755,                      0,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     84,                0.79037,                 6.0589,                      0,                 1.0747,                 1.2223,                0.49172,                0.69009,                0.60052,                0.39189,                0.24427,                0.16096,                 0.1003,                0.01969,                    nan,                 9.4255,                      0,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     85,                0.78396,                 6.0245,                      0,                 1.0963,                 1.2329,                0.51563,                0.71026,                0.59105,                 0.3842,                0.17356,                0.17234,                0.09177,                   0.02,                    nan,                 9.3831,                      0,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     86,                0.80046,                   6.04,                      0,                 1.1189,                 1.2349,                0.55198,                0.70239,                0.60231,                0.40923,                0.20419,                0.19396,                0.08952,                0.02055,                    nan,                 9.3725,                      0,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     87,                0.77947,                   6.03,                      0,                 1.1016,                 1.2295,                0.54766,                0.68424,                0.61773,                 0.4203,                0.22279,                0.18585,                0.10063,                0.02286,                    nan,                 9.3442,                      0,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     88,                0.77929,                 5.9812,                      0,                 1.0705,                 1.2348,                0.53799,                0.72731,                0.62584,                0.42228,                0.24352,                0.18678,                0.11023,                0.02299,                    nan,                 9.3514,                      0,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     89,                0.77454,                 6.0969,                      0,                 1.0648,                 1.2221,                   0.55,                0.68695,                 0.6178,                0.42212,                0.23717,                0.17347,                0.11098,                0.02504,                    nan,                 9.3677,                      0,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     90,                0.76231,                 5.8206,                      0,                 1.0758,                  1.207,                 0.5575,                0.65225,                 0.6103,                0.41456,                0.21265,                0.19622,                0.12056,                0.02634,                    nan,                 9.3948,                      0,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     91,                0.61127,                   5.09,                      0,                0.79182,                 1.1401,                0.48051,                0.70009,                  0.587,                0.38687,                0.24832,                0.17617,                0.11824,                0.02337,                    nan,                  9.437,                      0,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     92,                0.56672,                 5.0728,                      0,                 0.7585,                  1.089,                0.50777,                0.71196,                0.60697,                0.41374,                0.23698,                0.19779,                 0.1145,                0.02462,                    nan,                  9.388,                      0,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     93,                0.56577,                 4.9615,                      0,                0.73296,                 1.0994,                0.52307,                0.67145,                0.59208,                0.40337,                0.22129,                0.19509,                0.11447,                0.02575,                    nan,                 9.3876,                      0,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     94,                0.57052,                 4.9586,                      0,                0.75341,                 1.1057,                0.53016,                 0.6723,                0.60408,                0.41466,                0.26482,                0.18082,                0.11577,                0.02509,                    nan,                 9.3931,                      0,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     95,                0.52918,                 4.8848,                      0,                0.74099,                 1.0697,                0.52783,                  0.665,                0.60548,                0.42202,                0.30592,                0.18781,                0.12428,                0.02729,                    nan,                 9.3787,                      0,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     96,                0.54553,                 4.9011,                      0,                0.70806,                  1.085,                0.50904,                0.68797,                0.60056,                0.41927,                0.27869,                0.18484,                0.12216,                0.02719,                    nan,                 9.3633,                      0,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.53285,                 4.8768,                      0,                0.70236,                 1.0686,                0.50764,                0.70057,                0.59735,                0.41758,                0.29116,                0.17504,                0.12891,                0.02927,                    nan,                 9.3653,                      0,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.54063,                 4.8087,                      0,                0.68277,                 1.0812,                0.51053,                 0.6903,                0.59766,                0.42207,                0.22425,                0.21357,                0.12029,                0.02651,                    nan,                 9.3688,                      0,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.52442,                 4.7998,                      0,                0.67975,                 1.0769,                 0.5411,                0.66149,                0.59578,                0.41562,                 0.2241,                0.21244,                0.11596,                0.02594,                    nan,                 9.3688,                      0,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.5385,                 4.8727,                      0,                0.69084,                 1.0713,                0.52912,                 0.6767,                0.59132,                0.41529,                0.21939,                0.20973,                0.11357,                0.02576,                    nan,                 9.3758,                      0,                    nan,                    nan,             3.3173e-05,             3.3173e-05,             3.3173e-05
